route,url,type,title,canonical,robots,jsonLdCount,h1,words,minimumWords
"/","https://mypayrights.com","home","My Pay Rights — Law-backed calculators for pay, leave, and final wages","https://mypayrights.com","index, follow","2","Know what your employer owes you.","650","180"
"/uk","https://mypayrights.com/uk","core","UK Employment Pay Calculators — Statutory Rates 2026/27 · My Pay Rights","https://mypayrights.com/uk","index, follow","2","United Kingdom","1028","150"
"/us","https://mypayrights.com/us","core","US Employment Pay Calculators — Federal & State Rules 2026 · My Pay Rights","https://mypayrights.com/us","index, follow","2","United States","861","150"
"/ca","https://mypayrights.com/ca","core","Canada Employment Pay Calculators — Federal & Provincial Rules 2026 · My Pay Rights","https://mypayrights.com/ca","index, follow","2","Canada","694","150"
"/au","https://mypayrights.com/au","core","Australia Employment Pay Calculators — Fair Work Act 2026 · My Pay Rights","https://mypayrights.com/au","index, follow","2","Australia","578","150"
"/guides","https://mypayrights.com/guides","core","Employment Rights Guides — UK, US & More · My Pay Rights","https://mypayrights.com/guides","index, follow","3","Guides for pay problems that need a clear answer.","453","150"
"/compare","https://mypayrights.com/compare","core","Employment Law Comparisons — Understand Your Rights | MyPayRights · My Pay Rights","https://mypayrights.com/compare","index, follow","2","Employment law comparisons","342","150"
"/faq","https://mypayrights.com/faq","core","Employment Law FAQ — Quick Answers to Common Questions | MyPayRights · My Pay Rights","https://mypayrights.com/faq","index, follow","2","Frequently asked questions","2742","150"
"/guides/uk-redundancy-pay","https://mypayrights.com/guides/uk-redundancy-pay","guide","UK Redundancy Pay: Complete Guide 2026 — Statutory Entitlement Explained · My Pay Rights","https://mypayrights.com/guides/uk-redundancy-pay","index, follow","3","UK Redundancy Pay: Complete Guide 2026","1376","220"
"/guides/uk-notice-period-law","https://mypayrights.com/guides/uk-notice-period-law","guide","UK Notice Period Law 2026: Statutory Rights, Garden Leave & PILON Explained · My Pay Rights","https://mypayrights.com/guides/uk-notice-period-law","index, follow","3","UK Notice Period Law: Your Rights Explained 2026","1255","220"
"/guides/us-pto-payout-laws-by-state","https://mypayrights.com/guides/us-pto-payout-laws-by-state","guide","US PTO Payout Laws by State 2026: Which States Require Vacation Payout? · My Pay Rights","https://mypayrights.com/guides/us-pto-payout-laws-by-state","index, follow","3","US PTO Payout Laws by State 2026","1259","220"
"/guides/uk-take-home-pay","https://mypayrights.com/guides/uk-take-home-pay","guide","How to Calculate UK Take-Home Pay 2026/27 — Income Tax, NI & Deductions Explained · My Pay Rights","https://mypayrights.com/guides/uk-take-home-pay","index, follow","3","How to Calculate UK Take-Home Pay 2026/27","899","220"
"/guides/uk-maternity-pay","https://mypayrights.com/guides/uk-maternity-pay","guide","UK Maternity Pay: Complete Guide to SMP 2026/27 — Rates, Eligibility & Calculation · My Pay Rights","https://mypayrights.com/guides/uk-maternity-pay","index, follow","3","UK Maternity Pay: Complete Guide to SMP 2026/27","1234","220"
"/guides/uk-constructive-dismissal","https://mypayrights.com/guides/uk-constructive-dismissal","guide","Constructive Dismissal UK: Your Rights & How to Claim 2026 · My Pay Rights","https://mypayrights.com/guides/uk-constructive-dismissal","index, follow","3","Constructive dismissal: your rights in 2026","1570","220"
